[2024-11-16 20:55:04] Starting Symbols.py...
[2024-11-16 20:55:09] Output of Symbols.py:
Error fetching data for 16112024: 404 Client Error: Not Found for url: https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_16112024.csv
Symbols saved to /home/nikunj/NseInsiderTrading/Symbols.csv for 15112024

[2024-11-16 20:55:09] Starting StkData.py...
[2024-11-16 21:58:49] Output of StkData.py:
       SYMBOL
0   20MICRONS
1  21STCENMGM
2      360ONE
3   3IINFOLTD
4     3MINDIA
Stock data for 20MICRONS: ('Industrial Minerals', 'Minerals & Mining', 'Commodities', 'Metals & Mining')
Stock data for SIL: ('Real Estate related services', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for SILGO: ('Gems Jewellery And Watches', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for SILINV: ('Investment Company', 'Finance', 'Financial Services', 'Financial Services')
Stock data for SILKFLEX: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for SILLYMONKS: ('Media & Entertainment', 'Entertainment', 'Consumer Discretionary', 'Media Entertainment & Publication')
Stock data for SILVER: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for SILVER1: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for SILVERADD: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for SILVERBEES: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for SILVERETF: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for SILVERIETF: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for SILVERTUC: ('IT Enabled Services', 'IT - Services', 'Information Technology', 'Information Technology')
Stock data for SILVRETF: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for SIMBHALS: ('Sugar', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for SIMPLEXINF: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for SINCLAIR: ('Hotels & Resorts', 'Leisure Services', 'Consumer Discretionary', 'Consumer Services')
Stock data for SINDHUTRAD: ('Diversified', 'Diversified', 'Diversified', 'Diversified')
Stock data for SINTERCOM: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for SIRCA: ('Paints', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for SIS: ('Diversified Commercial Services', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for SITINET: ('TV Broadcasting & Software Production', 'Entertainment', 'Consumer Discretionary', 'Media Entertainment & Publication')
Stock data for SIYSIL: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for SJLOGISTIC: ('Logistics Solution Provider', 'Transport Services', 'Services', 'Services')
Stock data for SJS: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for SJVN: ('Power Generation', 'Power', 'Utilities', 'Power')
Stock data for SKFINDIA: ('Abrasives & Bearings', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SKIPPER: ('Heavy Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for SKMEGGPROD: ('Meat Products including Poultry', 'Food Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for SKP: ('Abrasives & Bearings', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SKYGOLD: ('Gems Jewellery And Watches', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for SLONE: ('Computers Hardware & Equipments', 'IT - Hardware', 'Information Technology', 'Information Technology')
Stock data for SMALLCAP: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for SMARTLINK: ('Computers Hardware & Equipments', 'IT - Hardware', 'Information Technology', 'Information Technology')
Stock data for SMCGLOBAL: ('Stockbroking & Allied', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for SMLISUZU: ('Commercial Vehicles', 'Agricultural Commercial & Construction Vehicles', 'Industrials', 'Capital Goods')
Stock data for SMLT: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SMSLIFE: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for SMSPHARMA: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for SMVD: ('Plastic Products - Industrial', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SNOWMAN: ('Logistics Solution Provider', 'Transport Services', 'Services', 'Services')
Stock data for SOBHA: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for SOBHAPP: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for SOFTTECH: ('Computers - Software & Consulting', 'IT - Software', 'Information Technology', 'Information Technology')
Stock data for SOLARA: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for SOLARAPP: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for SOLARINDS: ('Explosives', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for SOLEX: ('Heavy Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for SOMANYCERA: ('Ceramics', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for SOMATEX: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for SOMICONVEY: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
Stock data for SONACOMS: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for SONAMAC: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
Stock data for SONAMLTD: ('Consumer Electronics', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for SONATSOFTW: ('Computers - Software & Consulting', 'IT - Software', 'Information Technology', 'Information Technology')
Stock data for SONUINFRA: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for SOTL: ('Lubricants', 'Petroleum Products', 'Energy', 'Oil Gas & Consumable Fuels')
Stock data for SOUTHBANK: ('Private Sector Bank', 'Banks', 'Financial Services', 'Financial Services')
Stock data for SOUTHWEST: ('Diversified Commercial Services', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for SPAL: ('Garments & Apparels', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for SPANDANA: ('Microfinance Institutions', 'Finance', 'Financial Services', 'Financial Services')
Stock data for SPARC: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for SPCENET: ('Trading & Distributors', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for SPCL: ('Other Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for SPECIALITY: ('Restaurants', 'Leisure Services', 'Consumer Discretionary', 'Consumer Services')
Stock data for SPECTRUM: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
Stock data for SPECTSTM: ('Diversified Commercial Services', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for SPENCERS: ('Diversified Retail', 'Retailing', 'Consumer Discretionary', 'Consumer Services')
Stock data for SPIC: ('Fertilizers', 'Fertilizers & Agrochemicals', 'Commodities', 'Chemicals')
Stock data for SPLIL: ('Trading - Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for SPLPETRO: ('Petrochemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for SPMLINFRA: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for SPORTKING: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for SPPPOLY: ('Packaging', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SRD: ('Trading - Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for SREEL: ('Footwear', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for SRF: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for SRGHFL: ('Housing Finance Company', 'Finance', 'Financial Services', 'Financial Services')
Stock data for SRHHYPOLTD: ('Commodity Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for SRIVASAVI: ('Other Industrial Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SRM: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for SRPL: ('Edible Oil', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for SSDL: ('Garments & Apparels', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for SSEGL: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for SSFL: ('Other Food Products', 'Food Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for SSWL: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for STANLEY: ('Furniture Home Furnishing', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for STAR: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for STARCEMENT: ('Cement & Cement Products', 'Cement & Cement Products', 'Commodities', 'Construction Materials')
Stock data for STARHEALTH: ('General Insurance', 'Insurance', 'Financial Services', 'Financial Services')
Stock data for STARPAPER: ('Paper & Paper Products', 'Paper Forest & Jute Products', 'Commodities', 'Forest Materials')
Stock data for STARTECK: ('Non Banking Financial Company (NBFC)', 'Finance', 'Financial Services', 'Financial Services')
Stock data for STCINDIA: ('Trading & Distributors', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for STEELCAS: ('Castings & Forgings', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for STEELCITY: ('Stockbroking & Allied', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for STEELXIND: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for STEL: ('Investment Company', 'Finance', 'Financial Services', 'Financial Services')
Stock data for STERTOOLS: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for STLTECH: ('Telecom - Equipment & Accessories', 'Telecom - Equipment & Accessories', 'Telecommunication', 'Telecommunication')
Stock data for STOVEKRAFT: ('Household Appliances', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for STYLAMIND: ('Plywood Boards/ Laminates', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for STYLEBAAZA: ('Speciality Retail', 'Retailing', 'Consumer Discretionary', 'Consumer Services')
Stock data for STYRENIX: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for SUBEXLTD: ('Software Products', 'IT - Software', 'Information Technology', 'Information Technology')
Stock data for SUBROS: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for SUDARSCHEM: ('Dyes And Pigments', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for SUKHJITS: ('Other Agricultural Products', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for SULA: ('Breweries & Distilleries', 'Beverages', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for SUMICHEM: ('Pesticides & Agrochemicals', 'Fertilizers & Agrochemicals', 'Commodities', 'Chemicals')
Stock data for SUMIT: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for SUMMITSEC: ('Investment Company', 'Finance', 'Financial Services', 'Financial Services')
Stock data for SUNCLAY: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for SUNDARAM: ('Stationary', 'Household Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for SUNDARMFIN: ('Non Banking Financial Company (NBFC)', 'Finance', 'Financial Services', 'Financial Services')
Stock data for SUNDARMHLD: ('Investment Company', 'Finance', 'Financial Services', 'Financial Services')
Stock data for SUNDRMBRAK: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for SUNDRMFAST: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for SUNFLAG: ('Iron & Steel', 'Ferrous Metals', 'Commodities', 'Metals & Mining')
Stock data for SUNLITE: ('Aluminium Copper & Zinc Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SUNPHARMA: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for SUNREST: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for SUNTECK: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for SUNTV: ('TV Broadcasting & Software Production', 'Entertainment', 'Consumer Discretionary', 'Media Entertainment & Publication')
Stock data for SUPERHOUSE: ('Leather And Leather Products', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for SUPERSPIN: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for SUPRAJIT: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for SUPREMEENG: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SUPREMEIND: ('Plastic Products - Industrial', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SUPREMEINF: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for SUPREMEPWR: ('Other Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for SUPRIYA: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for SURAJEST: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for SURAJLTD: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SURANASOL: ('Heavy Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for SURANAT&P: (None, None, None, None)
Stock data for SURANI: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SURYALAXMI: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for SURYAROSNI: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SURYODAY: ('Other Bank', 'Banks', 'Financial Services', 'Financial Services')
Stock data for SUTLEJTEX: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for SUULD: ('Other Agricultural Products', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for SUVEN: ('Healthcare Research Analytics & Technology', 'Healthcare Services', 'Healthcare', 'Healthcare')
Stock data for SUVENPHAR: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for SUVIDHAA: ('Financial Technology (Fintech)', 'Financial Technology (Fintech)', 'Financial Services', 'Financial Services')
Stock data for SUYOG: ('Telecom - Infrastructure', 'Telecom - Services', 'Telecommunication', 'Telecommunication')
Stock data for SUZLON: ('Heavy Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
